Summit Motors|456 Oak Avenue, Lakeside, USA|555-987-65431
VPRYBK5Z8AG123456|2010|Tesla|Model S|Electric|Red|60000|35000
YJKRD63W3GT123456|2018|GMC|Sierra|Truck|Black|30000|40000
WQ2RM5DP2P0113456|2017|Volkswagen|Tiguan|SUV|Blue|45000|20000
Y5N92Y6J3CJ123456|2021|Audi|A6|Sedan|Silver|10000|55000
TXSL81B6CGK123456|2015|Lexus|RX|SUV|White|70000|30000
VYZ6K8LN9FY123456|2014|Subaru|Outback|Wagon|Green|80000|18000
ZNSW9JPM2PQ123456|2019|Land Rover|Range Rover|SUV|Black|20000|90000
V7W8J5Z4R6R123456|2016|Volvo|S60|Sedan|Gray|60000|25000
XDT2K7WL9XW123456|2012|Ford|Explorer|SUV|Red|90000|15000
YHX7K9BW3RS123456|2013|Buick|Encore|SUV|Silver|80000|17000
TYK8N4ZJ6LV123456|2018|Toyota|Highlander|SUV|Blue|40000|35000
U9Z6J4D2H7H123456|2016|Hyundai|Santa Fe|SUV|Black|60000|22000
X1K6M5P7VGJ123456|2020|Porsche|Cayenne|SUV|White|20000|80000
YXQ4N3V8T5J123456|2011|Acura|MDX|SUV|Blue|110000|20000
WTY3M8V5KZL123456|2015|Jeep|Grand Cherokee|SUV|Green|80000|28000
YVX2P1Q6ZRB123456|2014|Mercedes-Benz|GLE|SUV|Silver|70000|35000
WPY9Q2T8RZG123456|2019|BMW|X5|SUV|Black|30000|60000
Z1M8R5P7SXY123456|2017|Chevrolet|Tahoe|SUV|Red|50000|40000
Z8L5R7J4VMP123456|2018|Honda|Pilot|SUV|Gray|40000|32000
ZFT4S7P9WXF123456|2016|Nissan|Pathfinder|SUV|White|60000|23000