Summit Motors|456 Oak Avenue, Lakeside, USA|555-987-65431
HWUC129GLA02967|2016|Lamborghini|Aventador|Supercar|Yellow|15000|300000
1FTSW21P77EA53802|2007|Ford|F-250|Truck|Blue|90000|12000
JHMGE8H3XCN012345|2012|Honda|Fit|Sedan|Red|60000|8000
1G1ZD5ST9LF123456|2020|Chevrolet|Malibu|Sedan|Black|20000|20000
WDBRF92H96F801234|2006|Mercedes-Benz|C-Class|Sedan|Silver|80000|10000
5J6RM4H70FL123456|2015|Honda|CR-V|SUV|White|70000|15000
1C4HJXEG6JW123456|2018|Jeep|Wrangler|SUV|Green|30000|25000
1NXBR32E44Z123456|2004|Toyota|Corolla|Sedan|Blue|100000|5000
WBAPH77579A123456|2009|BMW|3Series|Sedan|Gray|80000|12000
1G1JC52F327123456|2002|Chevrolet|Cavalier|Sedan|Red|120000|3000
JN1CV6AP1BM123456|2011|Infiniti|G37|Sedan|Black|70000|14000
3D7KS29A78G123456|2008|Dodge|Ram2500|Truck|White|100000|18000
1HGCP36868A123456|2008|Honda|Accord|Sedan|Silver|90000|7000
5XXGN4A70FG123456|2015|Kia|Optima|Sedan|White|60000|13000
1GNSKBE04DR123456|2013|Chevrolet|Suburban|SUV|Black|80000|25000
1FTYR10U07PA12345|2007|Ford|Ranger|Truck|Blue|120000|8000
1C6RR7FT7GS123456|2016|Ram|1500|Truck|Silver|40000|27000
5TDZA23C97S123456|2007|Toyota|Sienna|Van|Gray|110000|9000
KMHDN46D05U123456|2005|Hyundai|Elantra|Sedan|Green|100000|5000
JN8AS5MV8DW123456|2013|Nissan|Rogue|SUV|Red|70000|15000